Qt,Component,Aliexpress,Amazon,Open Builds
10,T-Slot 3030 Aluminium Profil  - 540 mm,https://s.click.aliexpress.com/e/_AkhOBd,https://amzn.to/3v4HVqA,
2,T-Slot 3030 Aluminium Profil  - 670 mm (Tapped),https://s.click.aliexpress.com/e/_AkhOBd,https://amzn.to/3v4HVqA,
2,T-Slot 3060 Aluminium Profil  - 670 mm (Tapped),https://s.click.aliexpress.com/e/_AkhOBd,https://amzn.to/3v4HVqA,
16,Joining Plate for 3030 - 90 Degree,https://s.click.aliexpress.com/e/_Af0w63,https://amzn.to/3I8Rit1,
4,Cast 90 Degree Corner Bracket for 3030,https://s.click.aliexpress.com/e/_ASWgJH,https://amzn.to/3s4O7gD,
4,Rubber Foot (can be printed),https://s.click.aliexpress.com/e/_9wtAax,https://amzn.to/3BzNzSS,
