Qt,Component,Aliexpress,Amazon,Open Builds
1,Extruder Orbiter 1.5,https://s.click.aliexpress.com/e/_9Rc4Hh,https://amzn.to/3s0Wcml,
1,Turbo Fan 5015 - 24V,https://s.click.aliexpress.com/e/_AlzC6N,https://amzn.to/3H7RsQd,
1,Fan 4010 - 24V,https://s.click.aliexpress.com/e/_AlzC6N,https://amzn.to/3I7HWhk,
1,E3D V6 Hotend - 24V,https://s.click.aliexpress.com/e/_9gVLYz,https://amzn.to/34TzILm,
1,P.I.N.D.A. Probe,https://s.click.aliexpress.com/e/_AtIgiV,https://amzn.to/3Bzrioi,
