Qt,Component,Color,My Etsy Store,This Site Store
2,Linear Bearing Box (A),Black,,
2,Linear Bearing Box (B),Black,,
4,Pulley 80T,Black,,
4,Pulley 80T Cap,Black,,
4,Z Happy Idler,Black,,
1,Cable Chain Start,Black,,
1,Cable Chain End,Black,,
30,Chain Link,Black,,
30,Chain Link Clip,Black,,
2,Z Idler Motor (A),Blue,,
2,Z Idler Motor (B),Blue,,
2,Z Idler Polleys (A),Blue,,
2,Z Idler Polleys (B),Blue,,
4,Z Top Idler Pulley,Blue,,
1,Z Cable Guide,Blue,,
