Qt,Component,Aliexpress,Amazon,Open Builds
2,V-Slot 2020 Aluminium Profil  - 450 mm,https://s.click.aliexpress.com/e/_ACm2I7,https://amzn.to/3LR4Onp,https://openbuildspartstore.com/v-slot-20x40-linear-rail/?ref=mA1ciCf-vpubZS
4,Cast Corner Bracket 2020,https://s.click.aliexpress.com/e/_ATafkT,https://amzn.to/34Ognvb,https://openbuildspartstore.com/cast-corner-bracket/?ref=mA1ciCf-vpubZS
4,Fan 6010 - 24V,https://s.click.aliexpress.com/e/_ACSef9,https://amzn.to/3BzOq62,
