Qt,Component,Aliexpress,Amazon,Open Builds
2,PTFE Push Fit Fixing PC4M6,https://s.click.aliexpress.com/e/_9Ahsm7,https://amzn.to/3oYeFy7,
1,Ramps End Stop,https://s.click.aliexpress.com/e/_9z6Oph,https://amzn.to/3s5ZW66,
2,Ball Bearing 8x22x7,https://s.click.aliexpress.com/e/_AUqnmr,https://amzn.to/35anwWk,
