Qt,Component,Aliexpress,Amazon,Open Builds
1,MakerBase MKS Monster8,https://s.click.aliexpress.com/e/_9Qh6d1,,
1,Display MKS TS35 V2.0,https://s.click.aliexpress.com/e/_AMqkiF,,
7,Makerbase-driver TMC2009,https://s.click.aliexpress.com/e/_9G4zTD,https://amzn.to/3sXWLfW,
1,Raspberry Pi ,https://s.click.aliexpress.com/e/_98p6m3,https://amzn.to/3hjaTeB,
1,Power Supply 5V,https://s.click.aliexpress.com/e/_AoIk67,https://amzn.to/3gZdNVu,
1,Power Supply 24V,https://s.click.aliexpress.com/e/_AoIk67,https://amzn.to/3gZdNVu,
1,SSR Relay,https://s.click.aliexpress.com/e/_AYHY4X,https://amzn.to/3v5kLAn,
