Qt,Component,Color,My Etsy Store,This Site Store
1,Extruder Front Plate,Blue,,
1,TriHorn Fan Duct,Blue,,
1,Extruder Back Plate Corexy,Blue,,
1,Extruder Bottom MGN12,Black,,
1,Extruder TOP Orbiter 1.5,Black,,
1,Extruder Belt Clip (L),Black,,
2,Extruder Belt Clip (R),Black,,
1,P.I.N.D.A. Probe Support,Black,,
