Qt,Component,Color,My Etsy Store,This Site Store
1,Blue - Dobble Top panel Clip (L),Blue,,
1,Blue - Dobble Top panel Clip (R),Blue,,
2,Blue - Top panel Clip,Blue,,
1,Blue - Exhaust Fan Cover,Blue,,
1,Black - Exhaust Fan Shroud,Black,,
1,Blue - Exhaust Intake,Blue,,
1,Blue - Handle (L),Blue,,
1,Blue - Handle (R),Blue,,
4,Blue - Door Hinge Front,Blue,,
4,Blue - Door Hinge Side,Blue,,
1,Black - Magnet Door Stop,Black,,
