Qt,Component,Aliexpress,Amazon,Open Builds
1,410 x 410 Aluminium Plate,,,
4,DIN 466-B M3 Knurled Nut,https://s.click.aliexpress.com/e/_9RPglZ,https://amzn.to/3H5gAac,
2,V-Slot 2020 Aluminium Profil  - 550 mm,https://s.click.aliexpress.com/e/_ACm2I7,https://amzn.to/3LR4Onp,
4,90 Degree Angle Corner Connector,https://s.click.aliexpress.com/e/_A1vRQR,https://amzn.to/3s2XYn8,
1,Textured PEI Powder Coated Steel Sheet 410x410,https://s.click.aliexpress.com/e/_Ad7aWT,https://amzn.to/3BCF9dp,
