Qt,Component,Aliexpress,Amazon,Open Builds
4,Nema 17 Stepper Motor,https://s.click.aliexpress.com/e/_99IXzR,https://amzn.to/3I8tF43,https://openbuildspartstore.com/nema-17-stepper-motor/?ref=mA1ciCf-vpubZS
4,Linear Guide MGN12H - 500 mm,https://s.click.aliexpress.com/e/_A3g1AP,https://amzn.to/3v3cNb7,
4,Linear Berring MGN12H,https://s.click.aliexpress.com/e/_9uANHN,https://amzn.to/3v3cNb7,
5m,GT2 Timing Belt,https://s.click.aliexpress.com/e/_A1IaUZ,https://amzn.to/3gZH2az,https://openbuildspartstore.com/gt2-2m-timing-belt-by-the-foot/?ref=mA1ciCf-vpubZS
8,GT2 Idler 16T,https://s.click.aliexpress.com/e/_Af2ysX,https://amzn.to/3s2FaV1,
4,GT2 Idler 16T toothless,https://s.click.aliexpress.com/e/_Af2ysX,https://amzn.to/3v0TZcr,
4,GT2 Pulley 16T 5mm hole,https://s.click.aliexpress.com/e/_ALynrt,https://amzn.to/33C22kT,
4,Ball Bearing 5x10x4,https://s.click.aliexpress.com/e/_AncXt9,https://amzn.to/3sWgD3e,
8,Ball Bearing 5x16x5,https://s.click.aliexpress.com/e/_AN5CB9,https://amzn.to/3BzYFY2,
