Qt,Component,Color,My Etsy Store,This Site Store
2,Black - Side Skirt (L),Black,,
2,Black - Side Skirt (R),Black,,
1,Blue - Side Fan Shroud (L),Blue,,
1,Blue - Side Fan Shroud (R),Blue,,
1,Black - Front Skirt (L),Black,,
1,Black - Front Skirt (R),Black,,
2,Black - Housing Fan Clip (L),Black,,
2,Black - Housing Fan Clip (R),Black,,
