Qt,Component,Aliexpress,Amazon,Open Builds
1,Top - Acrilic Pannel 3mm 600x630mm,https://s.click.aliexpress.com/e/_A798mj,https://amzn.to/3sRJrtv,
2,Side - Acrilic Pannel 3mm 579x630mm,https://s.click.aliexpress.com/e/_A798mj,https://amzn.to/3sRJrtv,
2,Door - Acrilic Pannel 3mm 579x298mm,https://s.click.aliexpress.com/e/_A798mj,https://amzn.to/3sRJrtv,
1,Bottom - Acrilic Pannel 3mm 600x600mm,https://s.click.aliexpress.com/e/_A798mj,https://amzn.to/3sRJrtv,
1,Back - Acrilic Pannel 3mm 600x670mm,https://s.click.aliexpress.com/e/_A798mj,https://amzn.to/3sRJrtv,
1,Power Supply Conector,https://s.click.aliexpress.com/e/_AKoC2F,https://amzn.to/3sREIbu,
1,Fan 8025,https://s.click.aliexpress.com/e/_98RrlN,https://amzn.to/3H5OLys,
2,Din rail 35mm - 370mm,https://s.click.aliexpress.com/e/_9hTrV9,https://amzn.to/3h53Aa9,
2,6x5mm Round Neodymium Magnets,https://s.click.aliexpress.com/e/_AXFSB5,https://amzn.to/3Ia9xi2,
